,mean_exp,exp_both,exp_U
167,0.0810258952336837,272,539
168,0.0867045700135978,294,546
169,0.0807604358775018,267,539
170,0.1077633503141446,300,550
171,0.0997343105723187,308,536
172,0.0889946385828084,271,537
173,0.1031691530370483,290,543
174,0.0924975462728233,280,546
175,0.097503671265265,290,540
176,0.0951696326332512,293,547
177,0.0790508781051625,281,540
178,0.0931267929131602,274,538
179,0.0834028757227974,298,547
180,0.0850032794254578,273,544
181,0.0828607360753571,291,547
182,0.0985436422422677,298,545
183,0.0971442267781479,276,539
184,0.0836054313987771,292,546
185,0.0929056611486654,290,539
186,0.0876917566531561,267,542
187,0.0825358872097274,269,538
188,0.0792727769090647,280,540
189,0.1129795928904645,293,534
190,0.0792819130398311,280,542
191,0.0881086549023243,268,539
192,0.1005524779730874,295,538
193,0.0932326511992615,274,547
194,0.0918499983189387,289,539
195,0.0938078195734379,291,537
196,0.1009481468269812,284,533
197,0.109492192506074,277,550
198,0.0972375976984305,279,543
199,0.0836726624451204,275,544
200,0.0952864865781409,277,538
201,0.0879144187815875,282,535
202,0.07842181496704,271,547
203,0.0798358756701747,289,540
204,0.0998050077412103,288,545
205,0.0869117041658299,289,548
206,0.1098049822830916,290,548
207,0.0714989686425211,285,545
208,0.078900374036805,270,542
209,0.0959983192356486,288,536
210,0.0925557421215774,282,547
211,0.0837328090949145,283,543
212,0.1043668726013737,286,550
213,0.1037814112881042,286,543
214,0.0946157442666407,282,541
215,0.0859032862891896,255,532
216,0.0931728084996192,274,539
217,0.0961768084294702,286,545
218,0.080527973150554,267,543
219,0.0914974612111072,277,541
220,0.0955726474986984,261,542
221,0.0829203578601384,267,541
222,0.0915877763801502,286,546
223,0.0833408308160205,254,539
224,0.0867906950337444,276,537
225,0.1054603822938038,280,531
226,0.0832077865122185,274,542
227,0.1032021398793768,306,545
228,0.0862193899978018,280,540
229,0.0953547462017857,278,537
230,0.0785356597756179,266,532
231,0.0823891108801856,282,530
232,0.0835053941316543,289,537
233,0.0933659858261566,280,547
234,0.0964972990460182,280,532
235,0.1034283006054244,293,544
236,0.0864115275312405,260,534
237,0.0873154533721315,285,535
238,0.0949396004009743,270,548
239,0.0890464175555265,272,535
240,0.0853207355180385,258,536
241,0.093336277114509,271,544
242,0.0760422476152167,266,537
243,0.0868245836094725,266,540
244,0.0881500450740856,281,530
245,0.0919049200896814,294,545
246,0.1007171997963065,292,540
247,0.0801587196064843,285,535
248,0.0778776456710251,256,540
249,0.1087140906603956,276,541
250,0.0662169930899495,274,544
251,0.0822867376902896,286,536
252,0.0804359552384651,268,534
253,0.0612819569598902,260,535
254,0.095748513975364,272,542
255,0.1036334013139259,275,549
256,0.0828038771404807,266,535
257,0.0923038343670432,280,539
258,0.1181237947496069,320,545
259,0.0915901610615616,298,544
260,0.0876913348183041,271,531
261,0.1054070128147247,253,533
262,0.0964178783720466,291,534
263,0.0998780736967103,293,540
264,0.0911658603604702,296,540
265,0.0904765861820417,269,542
266,0.0917120651426544,278,542
267,0.0825767697660524,281,539
268,0.0824597285916573,275,537
269,0.0959591697507023,284,540
270,0.0934922992549757,294,548
271,0.0923405287339071,292,546
272,0.0932024278982461,265,543
273,0.0903831858137104,286,547
274,0.0782826509976409,271,536
275,0.1005774662904684,283,541
276,0.085930373324281,289,550
277,0.0713286120608652,268,539
278,0.0925185830850871,304,547
279,0.0649217891790975,247,538
280,0.0978954978147779,283,539
281,0.0849819208252325,275,541
282,0.0829207898130863,279,534
283,0.084751461653583,281,540
284,0.0930573572821157,285,546
285,0.0804097919977789,259,535
286,0.091454751649844,296,542
287,0.1010029012956762,295,528
288,0.0912057747043456,275,538
289,0.1004239526510844,287,545
290,0.0929371569463319,286,540
291,0.0923412813556097,275,542
292,0.0815307545393897,280,541
293,0.0884444298393449,281,541
294,0.0746330676483159,262,547
295,0.0945206871051795,255,540
296,0.0796182429092309,279,539
297,0.0863515243545267,272,536
298,0.0808594101444636,274,542
299,0.0921596847190781,299,543
300,0.0761815082071478,265,532
301,0.0941619241603869,285,546
302,0.1001011400807041,265,538
303,0.085918000171427,263,539
304,0.0902500656241435,270,542
305,0.0911166253460251,269,543
306,0.0905441988923057,281,534
307,0.0886886281878352,263,543
308,0.0831006013385085,275,536
309,0.0897486110639615,290,541
310,0.0836452326957507,266,546
311,0.0820703857689004,289,535
312,0.085045914099207,250,544
313,0.0873192180088201,279,532
314,0.0889170669034269,282,536
315,0.1007113786185181,288,548
316,0.0929306391727445,274,537
317,0.1026650430799318,270,545
318,0.0932333790517104,306,545
319,0.0862679368789198,286,540
320,0.0908556476598578,283,542
321,0.0852329166995065,275,536
322,0.0880920077094953,263,543
323,0.0833390375436081,269,539
324,0.0953829582816071,285,545
325,0.0804944338988107,257,540
326,0.0815975927681086,261,534
327,0.085051112585136,281,537
328,0.0955169334701575,285,538
329,0.1004457239769637,291,540
330,0.0829155816017821,267,540
331,0.0838096392268834,290,545
