,Host,Nested
99,F53B6.13,F53B6.5
100,gst-9,msp-33
101,kel-1,tars-1
102,let-858,F33A8.7
103,apc-1,glb-4
104,mix-1,VM106R.1
105,plc-3,srh-135
106,pqn-35,clec-136
107,pqn-35,clec-137
108,pqn-35,clec-138
109,pqn-35,clec-139
110,ptr-18,Y38F1A.4
111,rsp-7,marc-2
112,cpna-1,mth-2
113,cpna-1,mth-1
114,tps-2,F19H8.2
115,zyg-1,bli-2
116,utp-20,lron-15
117,mks-5,C09G5.14
118,C26D10.3,hel-1
119,xpf-1,inos-1
120,ilkp-1,F45E10.2
121,R05H10.3,Y53F4A.2
122,T01E8.8,ubxn-5
123,T26C5.3,T26C5.5
124,VF13D12L.3,fcmt-1
125,rga-1,klp-17
126,Y48C3A.5,ztf-22
127,Y53F4B.25,Y53F4B.26
128,Y54E2A.4,Y54E2A.5
129,Y54E2A.4,Y54E2A.7
130,B0286.1,fkh-6
131,lelo-4,C18A3.10
132,sptl-1,tre-5
133,C27D6.1,C27D6.3
134,C32B5.7,C32B5.13
135,sec-6,F09E5.12
136,sec-6,F09E5.16
137,nep-13,scl-15
138,F41C3.7,F41C3.11
139,K01A2.4,mps-2
140,lect-2,K05F1.14
141,npp-21,osm-8
142,T02G5.3,mct-5
143,T19D12.4,T19D12.5
144,lgc-45,W10G11.1
145,lgc-45,W10G11.2
146,lgc-45,W10G11.3
147,T01D1.8,T01D1.5
148,acr-7,T09A5.4
149,age-1,Y62F5A.10
150,pah-1,K08F8.15
151,col-72,W09G10.9
152,cyn-11,T01B7.13
153,gcy-5,srlf-34
154,glr-4,srlf-1
155,him-14,nos-2
156,ire-1,unc-105
157,npp-3,col-84
158,pld-1,txt-9
159,scc-2,cat-2
160,rpt-4,nfyc-1
161,unc-52,hhat-1
162,dph-2,bli-1
163,dph-2,col-39
164,dph-2,col-79
165,dph-2,col-80
166,stg-1,C18D1.2
167,sftd-3,cal-2
168,rict-1,pqn-32
169,F35C11.2,F35C11.3
170,dhgd-1,dnj-13
171,dhgd-1,F54D5.7
172,T05C12.11,T05C12.15
173,T13H5.1,M05D6.9
174,T23G7.2,dpl-1
175,cacn-1,K09E4.1
176,set-24,Y43F11A.4
177,tric-1B.1,Y57A10A.26
178,vps-15,ZK930.7
179,clpp-1,mdt-22
180,C25H3.11,flp-27
181,C32D5.8,txt-18
182,epg-5,vps-33.2
183,F10G7.10,F41C3.8
184,nep-12,F26G1.11
185,agr-1,nlp-50
186,agr-1,F41G3.18
187,K02F6.7,K02F6.5
188,K02F6.7,K02F6.6
189,K10B4.3,srt-54
190,tat-4,T24H7.8
191,del-10,T28D9.4
192,del-10,T28D9.16
193,Y51H7C.12,scl-17
194,Y59C2A.2,C33C12.1
195,gtap-1,col-74
196,C01B9.4,C01B9.1
197,byn-1,F57B9.8
198,cku-70,Y47D3A.31
199,cup-5,R13A5.15
200,eat-4,ZK512.7
201,gop-3,C34E10.9
202,mcm-6,srxa-10
203,ncl-1,ZK112.4
204,ncr-2,col-91
205,rgr-1,nlp-48
206,sma-2,tomm-70
207,tkr-1,C38C10.3
208,trp-2,R06B10.7
209,zfp-1,F54F2.6
210,cbp-3,F40F12.3
211,M03C11.3,hat-1
212,cisd-3.1,M88.3
213,dhc-4,col-92
214,dhc-4,col-93
215,dhc-4,col-94
216,ZC84.7,cls-3
217,lgc-37,BE10.1
218,famh-136,ZK637.14
219,prp-40,mrps-23
220,ggtb-1,B0280.17
221,cwf-19L2,B0361.9
222,cwf-19L2,B0361.14
223,elf-1,sel-15
224,pals-24,C29F9.12
225,yju-2,F37C12.14
226,K02D10.1,K02D10.2
227,K02D10.1,K02D10.3
228,K04C2.2,K04C2.5
229,osg-1,R02F2.8
230,cdh-1,R10F2.4
231,cdh-1,R10F2.5
232,amdh-1,srg-1
233,amdh-1,srg-2
234,amdh-1,srg-3
235,amdh-1,srg-4
236,amdh-1,srg-5
237,amdh-1,srg-6
238,amdh-1,srg-7
239,amdh-1,srg-8
240,amdh-1,srg-9
241,Y22D7AL.4,Y22D7AL.11
242,Y50D7A.1,ads-1
243,nhr-239,Y54F10AM.11
244,cdh-12,eak-3
245,acsd-1,lgc-46
246,cox-6B,laf-1
247,cox-6B,tmem-132
248,cox-6B,Y71H2AM.11
249,cox-6B,Y71H2AM.12
250,cox-6B,cest-25
251,cox-6B,Y71H2AM.14
252,cox-6B,gldi-9
253,cox-6B,pho-9
254,cox-6B,swsn-3
255,cox-6B,Y71H2AM.20
256,Y82E9BR.5,pals-20
257,fbxa-208,fbxa-78
258,F42A10.9,efk-1
259,T24C4.8,T24C4.4
260,F40G9.17,W10C4.1
261,T16G12.12,T16G12.10
262,R02F2.10,R02F2.6
263,apb-1,gpa-17
264,dpy-19,F22B7.1
265,dyf-2,sid-2
266,emb-30,F54C8.1
267,isw-1,F37A4.6
268,osm-12,Y75B8A.44
269,pat-12,idpp-1
270,pbo-1,Y71H2AL.4
271,pqn-83,Y39E4B.13
272,sel-2,mab-21
273,twk-7,fip-1
