,mean_exp,exp_both,exp_U
126,0.1919602167226277,385,531
127,0.1798469526723534,381,530
128,0.2018204693837466,394,534
129,0.1884717355820473,393,536
130,0.1980393704095774,402,539
131,0.1886521652543465,395,539
132,0.2048907134415138,408,542
133,0.1894572439762012,390,535
134,0.1979365906385405,378,527
135,0.1830402181712482,381,532
136,0.2084204502796721,397,538
137,0.1893803761464221,396,529
138,0.2015980469378143,408,540
139,0.1822839752242884,377,539
140,0.1825438081787544,374,534
141,0.2035287147141232,392,542
142,0.1823888838994349,381,538
143,0.1947551768274014,397,537
144,0.1767940617318727,389,528
145,0.1948887160726334,399,535
146,0.1883589036462157,382,536
147,0.1775641285259599,367,529
148,0.1923028906541928,395,529
149,0.1862632709173451,374,537
150,0.1859744918973298,385,536
151,0.1958893057348277,401,540
152,0.1962777760066958,390,532
153,0.1780993021594848,389,539
154,0.1894992544649106,374,539
155,0.1943392915114067,387,528
156,0.1850292354906863,393,536
157,0.1838422922831219,395,535
158,0.201598818894668,408,539
159,0.1790922077089208,381,538
160,0.1956305390920765,403,535
161,0.1823669420544413,387,531
162,0.1668300980870073,370,535
163,0.184101947605868,379,537
164,0.1923100963134328,370,531
165,0.193750424052652,398,533
166,0.1767350037831443,379,528
167,0.1839799989146204,385,534
168,0.1914948428700476,382,537
169,0.1839021778060086,396,541
170,0.1951911806277912,388,531
171,0.1927728820256788,387,538
172,0.1807620714452819,391,541
173,0.1721190021092432,370,526
174,0.1885158790463725,379,536
175,0.206067779098919,391,531
176,0.1913548850962695,396,535
177,0.1778519370477881,372,534
178,0.1942793838013233,383,537
179,0.1751445128712721,386,544
180,0.1844578513852728,386,529
181,0.200553727403165,395,539
182,0.1924900193396786,382,530
183,0.1931020773539127,372,529
184,0.2039836235988899,401,535
185,0.1880259398084413,393,537
186,0.1832184781874827,385,542
187,0.1951209362956033,383,529
188,0.1865619575860627,405,541
189,0.1860572183608204,387,537
190,0.1990514488242669,416,541
191,0.1885991885336396,398,533
192,0.1713171845771295,374,546
193,0.1847181993616761,386,535
194,0.1802771886769336,370,534
195,0.1916108601733762,386,529
196,0.2183881495481773,413,537
197,0.1941040094604164,382,530
198,0.1885639813827108,371,539
199,0.1996258647208505,390,544
200,0.1909180455228807,380,528
201,0.1899519226941637,384,528
202,0.178308895635804,399,539
203,0.1897520830835249,385,534
204,0.1927908477592678,392,543
205,0.1955687158347835,400,537
206,0.1908065839849038,384,530
207,0.1751448200874764,385,533
208,0.1765305444587375,365,542
209,0.1854975111220576,396,535
210,0.1873837933330481,401,539
211,0.1734133311201416,376,536
212,0.1884735349723766,377,537
213,0.1986718049826876,393,535
214,0.1872757788944764,395,538
215,0.1803055364910241,391,540
216,0.1940219625419413,392,537
217,0.1840680006369463,391,538
218,0.2008358331945403,398,531
219,0.1856088490735876,386,535
220,0.1983704496974722,393,536
221,0.1921630875101224,382,534
222,0.1911880770999687,376,540
223,0.1981662703757107,383,535
224,0.1824798476305259,385,536
225,0.1856858603700516,396,533
226,0.1954538210901482,393,530
227,0.2042211185911778,401,535
228,0.186825210948738,390,535
229,0.2007250931434955,393,533
230,0.1949619596347086,391,539
231,0.180271597455384,370,530
232,0.1879197061165585,390,533
233,0.2056501317316829,399,528
234,0.1925623669408898,400,549
235,0.1776163761588042,381,539
236,0.1935114648419582,410,538
237,0.1941673146283589,383,524
