,Host_gene,Nested_gene,exp_both,exp_U,ratio_coexp,exp_host,exp_nested
298,F26A1.9,F26A1.3,8,36,0.2222222222222222,19,25
299,F26F4.9,F26F4.2,1,345,0.002898550724637681,345,1
300,R01H2.4,R01H2.1,0,35,0.0,35,0
301,R05D3.9,R05D3.3,8,201,0.03980099502487562,199,10
302,polq-1,ceh-10,20,86,0.23255813953488372,62,44
303,wht-7,Y42G9A.2,4,63,0.06349206349206349,43,24
304,wht-7,Y42G9A.3,29,83,0.3493975903614458,43,69
305,ztf-8,ZC395.4,1,252,0.003968253968253968,252,1
306,cal-4,C02F4.5,0,65,0.0,65,0
307,ccr-4,ZC518.8,4,352,0.011363636363636364,352,4
308,dhs-12,msp-38,1,74,0.013513513513513514,74,1
309,alp-1,T11B7.5,2,156,0.01282051282051282,156,2
310,gex-2,F56A11.6,0,339,0.0,339,0
311,pqn-75,W03D2.9,5,80,0.0625,24,61
312,spp-10,hlh-12,2,121,0.01652892561983471,119,4
313,dgk-4,F42A9.9,11,203,0.054187192118226604,197,17
314,tpa-1,B0545.4,21,162,0.12962962962962962,152,31
315,svh-1,C07G1.6,0,25,0.0,24,1
316,svh-1,C07G1.7,0,24,0.0,24,0
317,unc-82,B0496.11,0,130,0.0,124,6
318,B0564.2,best-1,13,133,0.09774436090225563,125,21
319,pdzd-8,col-119,0,16,0.0,0,16
320,F07C6.4,M02B1.4,3,275,0.01090909090909091,275,3
321,ugt-65,col-130,4,61,0.06557377049180328,16,49
322,gba-3,grl-24,10,73,0.136986301369863,73,10
323,gba-3,F11E6.9,22,116,0.1896551724137931,73,65
324,nish-1,F13E9.11,0,382,0.0,0,382
325,F56D5.6,F56D5.5,3,37,0.08108108108108109,28,12
326,rga-5,H08M01.1,0,97,0.0,97,0
327,K01A6.6,K01A6.4,3,31,0.0967741935483871,31,3
328,K01A6.6,K01A6.7,11,36,0.3055555555555556,31,16
329,K01A6.6,K01A6.8,1,31,0.03225806451612903,31,1
330,R10H10.3,spe-26,1,61,0.01639344262295082,48,14
331,R102.3,R102.8,0,0,0,0,0
332,T25B9.9,inpp-1,163,337,0.4836795252225519,239,261
333,T28C6.7,T28C6.8,156,380,0.4105263157894737,373,163
334,T28C6.7,T28C6.11,47,375,0.12533333333333332,373,49
335,atln-2,dpy-4,4,59,0.06779661016949153,46,17
336,fcd-2,Y41E3.8,92,400,0.23,92,400
337,Y43C5B.3,Y43C5B.2,0,12,0.0,12,0
338,afmd-2,puf-3,5,84,0.05952380952380952,79,10
339,Y51H4A.25,Y51H4A.24,9,39,0.23076923076923078,15,33
340,Y105C5A.13,Y105C5A.12,0,1,0.0,1,0
341,C52D10.3,col-138,0,34,0.0,34,0
342,test-1,C54E4.12,30,207,0.14492753623188406,181,56
343,atic-1,ilys-4,20,112,0.17857142857142858,36,96
344,aagr-1,D2096.6,12,98,0.12244897959183673,17,93
345,drl-1,col-101,4,33,0.12121212121212122,14,23
346,F28F9.3,cal-3,2,41,0.04878048780487805,24,19
347,irld-7,nspb-1,0,4,0.0,2,2
348,clec-78,F47C12.6,0,149,0.0,149,0
349,clec-78,F47C12.7,0,149,0.0,149,0
350,clec-78,F47C12.8,0,149,0.0,149,0
351,clec-78,W02C12.2,58,286,0.20279720279720279,149,195
352,clec-78,F47C12.13,0,149,0.0,149,0
353,lgc-30,F58H7.1,4,35,0.11428571428571428,21,18
